,professionalExperience,occupation,genderSpecified,javaExperience,gender,academicExperience,user_id
316,1,Graduate Student,,Yes,Man,6,0aAg9cMttpLPO8WuMz6v
317,2,Graduate Student,,Yes,Man,7,0bycblEY2OvdkiHFMALu
318,0,Graduate Student,,Yes,Man,6,0tXHezQSO4TJl4j9EJzX
320,1,Graduate Student,,Yes,Man,6,2WDBrNfudzKioJhLy0kj
322,0,Graduate Student,,Yes,Man,5,2hohxryaazYnwCaPc6xf
326,0,Graduate Student,,Yes,Woman,3,3J3rAMDmdaycnd5PwWgz
332,3,Working in Academia,,Yes,Man,>8,5H9dzlxzyknJGwzbarSV
334,0,Undergraduate Student,,Yes,Man,7,61EUfStVQAOL4j72VFKE
335,3,Working in Academia,,Yes,Man,20,6TSRxP0QmqGmjb2eQyns
336,5,Working in Academia,,Yes,Woman,10,6meICs11BcPhaKH5KOYf
338,15,Other,,Yes,Man,1,747pHM0imQnMM1SReu5y
339,1,Graduate Student,,Yes,Man,2,74Yck7QewDPwt2UQlcZa
342,20,Professional Developer,,Yes,Man,1,7WARaAOYu0WDD6E0k3RW
348,1,Graduate Student,,Yes,Man,1,8aeVM4TTAhmAI07Y3jDW
356,3,Professional Developer,,Yes,Man,4,BK8XqqtdVw5Yf6hPVy6K
365,2,Professional Developer,,Yes,Man,5,Dc3IPugkT5xFRKe1zL8P
373,3,Professional Developer,,No,Man,0,GFooD4GMY99VKX4TsybQ
375,3,Working in Academia,,Yes,Man,7,GN5GZV7FTWV9y68mfUyt
380,22,Professional Developer,,Yes,Man,"Assuming that APE means ""since when have you been learning to program"": 38",HRDMDd5ghnbfbykA0itv
382,6,Professional Developer,,Yes,Man,Undergrad MS in CS,JCs4IEBzbVcCfEL3F4rP
386,17,Professional Developer,,Yes,Man,5,KaXv5PGnIV5OFof5Wfjj
390,6,Graduate Student,,No,Man,2,LlLmn0aqPB4anBfcxFiS
392,2,Graduate Student,,Yes,Man,8,NAQGK5Zg3Ew5N9jMNaLC
394,2,Professional Developer,,Yes,Man,8,OAiKCL5X9PHnTOL1n4oB
395,2,Professional Developer,,Yes,Man,1,OCbkp1LD2Saxg9lFykTJ
396,6,Professional Developer,,Yes,Man,6,OPdwL3eFlCjEM3YC9ERY
399,0,Undergraduate Student,,Yes,Man,5,OpyAusmpHsVDu1AOlQIs
400,1,Graduate Student,,Yes,Man,6,PAdexIEu1dK4KU73pzhM
405,1,Working in Academia,,Yes,Man,15,QA3ylciNtHoySYQSzLVt
407,2,Graduate Student,,Yes,Woman,2,R40DwJBNgnLiaSHAExUM
408,14,Professional Developer,,Yes,Man,3,RTGqHBjTkY28r0TF7XZj
411,3,Graduate Student,,Yes,Man,7,STuci5eqOjPxAphQPwHd
412,0,Graduate Student,,Yes,Woman,3,T7dg0Qk4bKXgDUXOW1fy
413,0,Undergraduate Student,,Yes,Woman,3,TPsV90U7OvmFne2E5Blv
417,0,Graduate Student,,Yes,Woman,3,UjLHllYXeqxAoTQ4usFD
418,15,Graduate Student,,Yes,Man,5,UoKGYb2XEeX2SBgcdojf
420,3,Graduate Student,,Yes,Man,5,UvzJigZbm35FoT9G2P88
