,user_id,question_id,mid,Overall DA Score,Content Adequacy,Conciseness,Fluency,sourcerer_id
2464,YvpO5sRN0Gowv42miDNX,325,3.0,5.0,1.0,3.0,3.0,14477858
1897,E0yVLdMEnSemeJrQJi3r,300,1.0,84.0,3.0,5.0,5.0,31499530
1428,unLy4bVh7N8PYlTn4NHc,280,5.0,50.0,2.0,5.0,4.0,44731438
6147,fCVk8MAnGWNW6hkV00qY,13,2.0,50.0,2.0,3.0,3.0,41287172
1986,74Yck7QewDPwt2UQlcZa,20,0.0,90.0,4.0,5.0,5.0,4114401
2031,7NR8OQqx1QQiCScJezce,345,3.0,50.0,4.0,4.0,5.0,43040517
4640,fCVk8MAnGWNW6hkV00qY,85,3.0,95.0,5.0,5.0,5.0,38221361
5653,bmrBYCnNNuEsKhIMzikX,407,2.0,80.0,4.0,5.0,3.0,40869615
5386,wsOTwqJfwvbj9rmKVjdp,328,5.0,0.0,1.0,1.0,4.0,47473551
2343,9cXBjGdLIeVfAxDPz15t,167,4.0,3.0,1.0,1.0,1.0,26086319
5545,WQHc0FRbllerXiXsvmsW,242,2.0,3.0,1.0,1.0,1.0,32119938
6073,cuQhqYgprMUVViT96DQm,409,5.0,10.0,2.0,3.0,3.0,7535196
2234,8aeVM4TTAhmAI07Y3jDW,63,2.0,80.0,4.0,3.0,4.0,33484580
4826,VMjLxkBWeElgl1eM31V5,190,1.0,95.0,5.0,5.0,5.0,27798040
4594,qwUOLFHLLvPwcb95yOml,4,5.0,5.0,1.0,5.0,3.0,7349000
5813,eZFzXOAO0rISvqH4zZzA,95,2.0,85.0,4.0,4.0,4.0,9347576
4944,VHOq72nCE0glOazhgD74,269,0.0,60.0,3.0,2.0,5.0,44730585
463,WdquHFgaoiwJi43Ms429,339,1.0,51.0,3.0,5.0,5.0,5592516
638,hsLqYRkRStC0SqhXPl5d,46,4.0,24.0,2.0,3.0,4.0,26285275
3622,Fq4gMagKjpN7nOzT8xUF,294,3.0,3.0,1.0,2.0,1.0,33010677
3047,ENLTcnRq7pHxVGi6I80V,312,2.0,80.0,5.0,5.0,5.0,8435765
72,22KvSGRRlOWYwqgbL4ix,338,0.0,80.0,4.0,4.0,5.0,15689227
3162,XFvy1ChD65gtfDauQ3eI,393,5.0,50.0,3.0,4.0,5.0,7561837
6213,wsOTwqJfwvbj9rmKVjdp,394,2.0,70.0,4.0,4.0,5.0,46026420
4630,OAiKCL5X9PHnTOL1n4oB,56,5.0,0.0,1.0,5.0,5.0,26215331
5719,lA4bTekYoZv3RdexYbJJ,251,2.0,2.0,1.0,1.0,1.0,46999723
6024,unLy4bVh7N8PYlTn4NHc,359,4.0,10.0,2.0,2.0,2.0,39233254
5543,WQHc0FRbllerXiXsvmsW,242,0.0,5.0,1.0,1.0,1.0,32119938
1840,6VM1Ty0IL1RqSFyq8DBS,199,4.0,3.0,3.0,5.0,5.0,38531570
2212,qIWZUWljoKZe0EhZc3nV,48,4.0,70.0,5.0,4.0,3.0,33483566
216,I5Uefymq7ArJRht2oIgR,207,4.0,100.0,5.0,5.0,5.0,22407601
1751,xO8hpTrET6cmtyh2yJwI,253,5.0,5.0,1.0,2.0,3.0,34609490
2944,KheORshUwbBS6bSFgp2O,273,3.0,50.0,3.0,3.0,2.0,3501100
2632,BeAO9W4lwF08EAy9rMZz,270,3.0,2.0,1.0,5.0,3.0,48209632
4868,QTiIqEmMuWtCu6ustxKd,237,2.0,2.0,0.0,0.0,0.0,29601958
3601,Fq4gMagKjpN7nOzT8xUF,281,0.0,2.0,1.0,1.0,1.0,31741225
323,4bTUXf5wr8916W7TAmyl,405,0.0,98.0,5.0,5.0,5.0,44520246
2566,BK8XqqtdVw5Yf6hPVy6K,49,1.0,82.0,4.0,5.0,5.0,12288403
4086,UvzJigZbm35FoT9G2P88,42,3.0,49.0,2.0,4.0,2.0,41253243
3879,p7DjhGUik7gMaA0POBMl,397,2.0,3.0,0.0,0.0,0.0,11759899
3774,GFooD4GMY99VKX4TsybQ,18,5.0,15.0,2.0,5.0,1.0,47645062
752,RTGqHBjTkY28r0TF7XZj,87,4.0,89.0,3.0,5.0,5.0,36645778
